rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
75.1,0.99702604,2.8,2,257,10,751,,,,,
66.7,0.99471736,2.6,9,142,20,1334,0.0001,0.015073212794959545,83,,
65.16666666666667,0.9922582000000001,2.7666666666666666,18,106,30,1955,0.0001,0.04255850240588188,238,,
63.25,0.9899812000000001,2.7,30,83,40,2530,0.0001,0.014970558695495129,382,,
59.16,0.9882863199999999,2.56,37,78,50,2958,0.0001,0.02750523015856743,489,,
58.63333333333333,0.9860687199999999,2.533333333333333,46,74,60,3518,0.0001,0.009240305051207542,629,,
57.214285714285715,0.9841402000000001,2.5142857142857142,54,73,70,4005,0.0001,0.00181562767829746,751,,
57.525,0.98177608,2.5,64,71,80,4602,0.0001,0.014857256785035133,900,,
58.333333333333336,0.9792100000000001,2.588888888888889,74,70,90,5250,0.0001,0.007967807352542877,1062,,
60.01,0.9762360400000001,2.67,87,68,100,6001,0.0001,0.014897765591740608,1250,,
59.36,0.97351948,2.68,98,67,110,6687,0.0001,0.01388961635529995,1421,,
58.73,0.97146028,2.65,107,66,120,7207,0.0001,0.022269856184720993,1551,,
59.26,0.9687912399999999,2.62,118,66,130,7881,0.0001,0.01999506913125515,1720,,
58.49,0.9668191599999999,2.59,127,65,140,8379,0.0001,0.011608914472162724,1844,,
58.9,0.9649619199999999,2.61,134,65,150,8848,0.0001,0.05747847631573677,1961,,
58.58,0.96287104,2.54,143,65,160,9376,0.0001,0.012401600368320942,2093,,
58.68,0.9609029199999999,2.58,152,64,170,9873,0.0001,0.013126269914209843,2218,,
58.75,0.95851108,2.64,162,64,180,10477,0.0001,0.027730461210012436,2369,,
56.79,0.95672116,2.58,170,64,190,10929,0.0001,0.014838868752121925,2482,,
54.39,0.9546976,2.46,178,63,200,11440,0.0001,0.03560839220881462,2609,,
52.91,0.9525671200000001,2.45,188,63,210,11978,0.0001,0.018397606909275055,2744,,
53.82,0.9501475599999999,2.57,198,63,220,12589,0.0001,0.02035033144056797,2897,,
51.22,0.9485081200000001,2.54,205,63,230,13003,0.0001,0.05256913602352142,3000,,
51.67,0.94635784,2.65,214,63,240,13546,0.0001,0.03284786641597748,3136,,
52.35,0.94423132,2.65,223,62,250,14083,0.0001,0.053855765610933304,3270,,
53.28,0.94177216,2.81,235,62,260,14704,0.0001,0.02146599441766739,3425,,
53.11,0.9398713600000002,2.84,243,62,270,15184,0.0001,0.02369692176580429,3545,,
52.27,0.93781216,2.85,252,62,280,15704,0.0001,0.049456242471933365,3675,,
51.78,0.93621628,2.8,259,62,290,16107,0.0001,0.05714743211865425,3776,,
52.22,0.93401848,2.87,268,61,300,16662,0.0001,0.02468598261475563,3915,,
53.59,0.9313454800000001,2.92,280,61,310,17337,0.0001,0.14162328839302063,4084,,
52.43,0.92938528,2.87,288,61,320,17832,0.0001,0.0681011825799942,4207,,
52.23,0.9278250399999999,2.87,295,61,330,18226,0.0001,0.11811451613903046,4306,,
53.16,0.92530648,2.87,306,61,340,18862,0.0001,0.09142576158046722,4465,,
53.42,0.9230769999999999,2.94,315,61,350,19425,0.0001,0.12108641862869263,4606,,
53.4,0.92062576,2.87,325,61,360,20044,0.0001,0.03796331211924553,4760,,
54.27,0.9183804400000001,2.82,335,61,370,20611,0.0001,0.10647118836641312,4902,,
55.98,0.9156440800000001,2.86,347,61,380,21302,0.0001,0.11652356386184692,5075,,
55.53,0.9142264,2.88,353,61,390,21660,0.0001,0.05609852820634842,5164,,
54.41,0.9124721200000001,2.79,361,61,400,22103,0.0001,0.07066803425550461,5275,,
52.41,0.9105911200000001,2.69,369,61,410,22578,0.0001,0.07880598306655884,5394,,
52.14,0.9087378399999999,2.6,381,60,420,23046,0.0001,0.16769400238990784,5511,,
53.36,0.9066944800000001,2.6,391,60,430,23562,0.0001,0.03166710212826729,5640,,
52.15,0.90465508,2.54,399,60,440,24077,0.0001,0.09433822333812714,5769,,
50.73,0.9029879199999999,2.46,406,60,450,24498,0.0001,0.10266106575727463,5874,,
