rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2.8,751,10,273,75.1,2,0.985731,,,,,
2.65,1230,20,143,61.5,8,0.9766299999999999,0.001,0.017867859452962875,57,,
2.8333333333333335,1777,30,95,59.233333333333334,18,0.9662370000000006,0.001,0.02962680533528328,194,,
2.675,2199,40,80,54.975,27,0.9582189999999999,0.001,0.0580579936504364,299,,
2.46,2650,50,65,53.0,40,0.9496500000000003,0.001,0.006326074246317148,412,,
2.5,3217,60,61,53.61666666666667,52,0.9388769999999995,0.001,0.01617264561355114,554,,
2.4857142857142858,3740,70,58,53.42857142857143,63,0.9289399999999997,0.001,0.016253884881734848,684,,
2.55,4335,80,57,54.1875,75,0.9176350000000004,0.001,0.015759756788611412,833,,
2.566666666666667,4954,90,56,55.044444444444444,87,0.9058739999999997,0.001,0.005141498986631632,988,,
2.58,5486,100,55,54.86,98,0.8957660000000002,0.001,0.006473558023571968,1121,,
2.56,5920,110,55,51.69,106,0.8875200000000004,0.001,0.010074445977807045,1229,,
2.61,6549,120,55,53.19,119,0.8755689999999995,0.001,0.014918464235961437,1387,,
2.62,7185,130,54,54.08,131,0.8634850000000001,0.001,0.019177332520484924,1546,,
2.69,7673,140,54,54.74,140,0.8542130000000003,0.001,0.017374375835061073,1668,,
2.78,8115,150,54,54.65,149,0.8458150000000003,0.001,0.034850578755140305,1778,,
2.9,8831,160,54,56.14,163,0.8322110000000005,0.001,0.016132842749357224,1957,,
2.97,9398,170,53,56.58,174,0.8214379999999997,0.001,0.05102836340665817,2099,,
3.07,9935,180,53,56.0,184,0.8112349999999995,0.001,0.018527213484048843,2233,,
3.02,10293,190,53,53.39,191,0.8044330000000001,0.001,0.026436567306518555,2323,,
3.15,10868,200,53,53.82,203,0.7935080000000002,0.001,0.04476983845233917,2466,,
3.26,11488,210,53,55.68,215,0.7817280000000001,0.001,0.06307311356067657,2621,,
3.24,11895,220,53,53.46,223,0.7739950000000002,0.001,0.028097759932279587,2723,,
3.34,12446,230,53,52.61,233,0.7635259999999998,0.001,0.021282443776726723,2861,,
3.48,12998,240,53,53.25,244,0.7530379999999999,0.001,0.03721628338098526,2999,,
3.47,13400,250,52,52.85,252,0.7453999999999996,0.001,0.06144892796874046,3099,,
3.38,14155,260,52,53.24,267,0.7310550000000006,0.001,0.09314223378896713,3288,,
3.43,14621,270,52,52.23,278,0.7222010000000001,0.001,0.02999955415725708,3405,,
3.36,15237,280,51,53.02,293,0.710497,0.001,0.06379564851522446,3559,,
