rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2.8,751,10,279,75.1,2,0.985731,,,,,
2.55,1318,20,136,65.9,9,0.9749580000000003,1e-05,0.03145246580243111,79,,
2.3666666666666667,1907,30,94,63.56666666666667,20,0.9637670000000002,1e-05,0.0007151582394726574,226,,
2.425,2612,40,80,65.3,32,0.950372,1e-05,0.014996378682553768,402,,
2.32,3135,50,73,62.7,42,0.940435,1e-05,0.015392213128507137,533,,
2.3833333333333333,3692,60,68,61.53333333333333,53,0.9298520000000006,1e-05,0.01557150948792696,672,,
2.4285714285714284,4346,70,65,62.08571428571429,65,0.9174259999999997,1e-05,0.0011868338333442807,836,,
2.6,5042,80,64,63.025,78,0.9042020000000002,1e-05,0.016099095344543457,1010,,
2.566666666666667,5465,90,62,60.72222222222222,86,0.8961650000000001,1e-05,0.001639272435568273,1116,,
2.47,5848,100,61,58.48,94,0.8888879999999997,1e-05,0.015242929570376873,1211,,
2.47,6472,110,60,57.21,106,0.8770320000000005,1e-05,0.030453931540250778,1367,,
2.64,7358,120,59,60.4,122,0.8601980000000005,1e-05,0.029471127316355705,1589,,
2.65,7954,130,59,60.47,132,0.8488739999999997,1e-05,0.05975266173481941,1738,,
2.83,8870,140,59,62.58,148,0.8314700000000002,1e-05,0.015141081996262074,1967,,
2.89,9722,150,59,65.87,162,0.8152819999999998,1e-05,0.05837149918079376,2180,,
2.89,10454,160,59,67.62,175,0.8013739999999996,1e-05,0.029875529929995537,2363,,
3.0,11053,170,59,67.07,185,0.7899930000000004,1e-05,0.0002771777508314699,2513,,
2.9,11514,180,59,64.72,193,0.7812339999999995,1e-05,0.015867162495851517,2628,,
3.0,12097,190,59,66.32,203,0.7701569999999995,1e-05,0.056600846350193024,2774,,
3.11,12727,200,59,68.79,213,0.7581870000000003,1e-05,0.024841446429491043,2931,,
3.01,13265,210,59,67.93,222,0.7479649999999995,1e-05,0.013383885845541954,3066,,
2.95,13938,220,59,65.8,234,0.7351779999999999,1e-05,0.06988481432199478,3234,,
3.07,14619,230,59,66.65,245,0.7222390000000002,1e-05,0.024294987320899963,3404,,
2.82,15183,240,59,63.13,255,0.7115229999999999,1e-05,0.0546669140458107,3545,,
2.82,15977,250,59,62.55,269,0.6964369999999998,1e-05,0.00039159192238003016,3744,,
2.91,16460,260,59,60.06,277,0.6872600000000005,1e-05,0.023683760315179825,3864,,
2.82,16950,270,59,58.97,286,0.6779499999999996,1e-05,0.016850413754582405,3987,,
2.82,17540,280,59,60.26,296,0.66674,1e-05,0.015575338155031204,4134,,
2.87,18083,290,58,59.86,306,0.6564229999999998,1e-05,0.042835086584091187,4270,,
2.85,18684,300,58,59.57,317,0.6450040000000005,1e-05,0.041547104716300964,4420,,
2.99,19207,310,58,59.42,326,0.6350670000000005,1e-05,0.01562827080488205,4551,,
