time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
7,751,0.985731,102,2.8,75.1,10,,,,,
20,1230,0.9766299999999999,58,2.65,61.5,20,0.0001,57,0.01721319742500782,,
51,1705,0.9676049999999998,33,2.6,56.833333333333336,30,0.0001,176,0.056550122797489166,,
73,2264,0.9569840000000003,30,2.5,56.6,40,0.0001,315,0.0011846707202494144,,
92,2831,0.9462109999999995,30,2.58,56.62,50,0.0001,457,0.0017597124679014087,,
117,3474,0.9339940000000004,29,2.6166666666666667,57.9,60,0.0001,618,0.013007842004299164,,
135,3999,0.9240190000000005,29,2.5428571428571427,57.128571428571426,70,0.0001,749,0.0017644352046772838,,
158,4556,0.9134359999999999,28,2.6,56.95,80,0.0001,888,0.011724635027348995,,
182,5150,0.9021500000000002,28,2.688888888888889,57.22222222222222,90,0.0001,1037,0.009210026822984219,,
198,5546,0.8946260000000001,27,2.75,55.46,100,0.0001,1136,0.01697860099375248,,
219,6044,0.8851640000000002,27,2.74,52.93,110,0.0001,1260,0.005485297180712223,,
256,6753,0.8716929999999998,26,2.86,55.23,120,0.0001,1438,0.027060257270932198,,
276,7309,0.8611289999999998,26,2.93,56.04,130,0.0001,1577,0.006080838851630688,,
294,7901,0.8498810000000002,26,3.06,56.37,140,0.0001,1725,0.010700231418013573,,
309,8386,0.8406659999999999,27,3.1,55.55,150,0.0001,1846,0.043212998658418655,,
329,8972,0.8295320000000004,27,3.29,54.98,160,0.0001,1992,0.029041005298495293,,
345,9494,0.819614,27,3.37,54.95,170,0.0001,2123,0.02589615061879158,,
360,9981,0.8103609999999997,27,3.47,54.25,180,0.0001,2245,0.026587042957544327,,
380,10600,0.7986000000000001,27,3.62,54.5,190,0.0001,2399,0.02096785604953766,,
395,11084,0.7894040000000003,28,3.73,55.38,200,0.0001,2520,0.01030494924634695,,
410,11530,0.7809300000000003,28,3.77,54.86,210,0.0001,2632,0.02221694588661194,,
424,11976,0.7724560000000003,28,3.73,52.23,220,0.0001,2743,0.012291984632611275,,
434,12340,0.7655399999999997,28,3.7,50.31,230,0.0001,2834,0.005897172726690769,,
449,12806,0.7566860000000003,28,3.69,49.05,240,0.0001,2951,0.03502035140991211,,
461,13136,0.7504160000000004,28,3.58,47.5,250,0.0001,3033,0.033826302736997604,,
476,13629,0.741049,28,3.46,46.57,260,0.0001,3157,0.02262192778289318,,
488,14040,0.7332400000000001,28,3.46,45.46,270,0.0001,3259,0.024709399789571762,,
497,14403,0.7263430000000001,28,3.28,44.22,280,0.0001,3350,0.03205820173025131,,
512,14896,0.7169759999999996,29,3.14,42.96,290,0.0001,3473,0.024960454553365707,,
527,15412,0.7071720000000004,29,3.02,43.28,300,0.0001,3602,0.015359311364591122,,
544,15976,0.6964560000000002,29,3.15,44.46,310,0.0001,3743,0.014929655008018017,,
560,16463,0.687203,29,3.14,44.87,320,0.0001,3865,0.0498671755194664,,
574,16920,0.6785200000000002,29,3.16,45.8,330,0.0001,3979,0.02388586662709713,,
589,17414,0.6691340000000003,29,3.2,46.08,340,0.0001,4103,0.025991426780819893,,
603,17851,0.660831,29,3.4,47.15,350,0.0001,4212,0.04690186679363251,,
618,18332,0.6516919999999997,29,3.39,47.03,360,0.0001,4332,0.024165170267224312,,
626,18682,0.6450420000000006,29,3.39,46.42,370,0.0001,4420,0.025659650564193726,,
640,19120,0.6367199999999995,29,3.53,47.17,380,0.0001,4529,0.028405601158738136,,
653,19545,0.6286450000000003,29,3.48,46.49,390,0.0001,4636,0.041382499039173126,,
669,20040,0.61924,29,3.49,46.28,400,0.0001,4759,0.025958772748708725,,
679,20470,0.6110700000000002,30,3.38,44.94,410,0.0001,4867,0.023408804088830948,,
688,20690,0.6068900000000004,30,3.25,42.27,420,0.0001,4922,0.02841326780617237,,
702,21146,0.5982260000000001,30,3.36,42.26,430,0.0001,5036,0.017474282532930374,,
711,21475,0.5919749999999997,30,3.16,40.61,440,0.0001,5118,0.029964739456772804,,
