time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
751,0.985731,2,10,2.8,326,75.1,,,,,
1345,0.9744450000000003,11,20,2.9,119,67.25,86,0.04482177644968033,0.0001,,
1797,0.9658570000000002,21,30,2.6666666666666665,83,59.9,199,0.001201491802930832,0.0001,,
2256,0.9571360000000004,31,40,2.6,70,56.4,313,0.027657367289066315,0.0001,,
2859,0.945679,46,50,2.52,61,57.18,464,0.025011658668518066,0.0001,,
3346,0.9364259999999998,59,60,2.466666666666667,55,55.766666666666666,586,0.012644524686038494,0.0001,,
3887,0.9261470000000005,75,70,2.4571428571428573,51,55.52857142857143,721,0.009974789805710316,0.0001,,
4615,0.9123150000000004,94,80,2.5875,48,57.6875,903,0.009072797372937202,0.0001,,
5059,0.9038790000000004,106,90,2.6222222222222222,47,56.21111111111111,1014,0.021854741498827934,0.0001,,
5448,0.8964879999999998,116,100,2.59,46,54.48,1111,0.013948997482657433,0.0001,,
6010,0.8858099999999998,129,110,2.64,46,52.59,1252,0.030642390251159668,0.0001,,
6492,0.8766520000000001,141,120,2.61,45,51.47,1372,0.023974182084202766,0.0001,,
7304,0.8612240000000004,160,130,2.94,45,55.07,1575,0.011586138978600502,0.0001,,
7724,0.8532439999999999,169,140,2.97,45,54.68,1680,0.012686763890087605,0.0001,,
8215,0.8439150000000005,181,150,3.04,45,53.56,1803,0.02478422224521637,0.0001,,
8847,0.8319070000000002,196,160,3.14,45,55.01,1961,0.017734944820404053,0.0001,,
9385,0.8216850000000004,208,170,3.22,44,54.98,2096,0.029291478917002678,0.0001,,
9881,0.8122610000000006,222,180,3.2,44,52.66,2220,0.029250942170619965,0.0001,,
10467,0.8011269999999999,235,190,3.31,44,54.08,2366,0.03747733682394028,0.0001,,
10953,0.7918930000000002,247,200,3.39,44,55.05,2488,0.03574816882610321,0.0001,,
11485,0.7817849999999996,260,210,3.38,44,54.75,2621,0.026135915890336037,0.0001,,
12005,0.7719050000000003,273,220,3.46,43,55.13,2751,0.06768356263637543,0.0001,,
12442,0.7636019999999999,283,230,3.2,43,51.38,2860,0.046865202486515045,0.0001,,
12986,0.7532660000000001,296,240,3.23,43,52.62,2996,0.03468669578433037,0.0001,,
13544,0.742664,310,250,3.31,43,53.29,3135,0.047526709735393524,0.0001,,
14156,0.731036,325,260,3.39,43,53.09,3288,0.03351781144738197,0.0001,,
14652,0.721612,336,270,3.41,43,52.67,3412,0.03032943792641163,0.0001,,
15106,0.7129859999999999,347,280,3.39,43,52.25,3526,0.04690355435013771,0.0001,,
15643,0.7027829999999997,361,290,3.39,43,51.76,3660,0.04238647595047951,0.0001,,
16231,0.6916110000000002,376,300,3.4,43,52.78,3807,0.0647183209657669,0.0001,,
16731,0.6821110000000001,388,310,3.47,43,52.46,3932,0.04875105619430542,0.0001,,
17017,0.676677,395,320,3.31,42,50.12,4004,0.045185115188360214,0.0001,,
17422,0.6689820000000002,408,330,3.37,42,49.8,4105,0.10278935730457306,0.0001,,
17836,0.6611159999999997,422,340,3.36,42,48.5,4208,0.0658438429236412,0.0001,,
18379,0.6507990000000003,438,350,3.39,41,48.35,4344,0.06835667788982391,0.0001,,
18825,0.6423250000000005,449,360,3.28,41,46.69,4456,0.07510624080896378,0.0001,,
19320,0.6329199999999999,460,370,3.28,41,46.68,4579,0.14996734261512756,0.0001,,
19869,0.6224889999999996,473,380,3.35,41,47.63,4717,0.06649071723222733,0.0001,,
20383,0.6127230000000004,486,390,3.33,41,47.4,4845,0.08553873002529144,0.0001,,
20689,0.6069089999999998,493,400,3.24,41,44.58,4922,0.06626046448945999,0.0001,,
21185,0.5974849999999998,505,410,3.27,41,44.54,5046,0.19351738691329956,0.0001,,
21673,0.5882130000000001,517,420,3.46,41,46.56,5168,0.0647813007235527,0.0001,,
22113,0.5798530000000002,528,430,3.46,41,46.91,5278,0.1374066174030304,0.0001,,
22599,0.5706190000000004,539,440,3.51,41,47.63,5399,0.13736331462860107,0.0001,,
23016,0.5626960000000004,550,450,3.38,41,46.37,5503,0.04833131656050682,0.0001,,
23514,0.5532340000000004,562,460,3.34,41,46.89,5628,0.16237366199493408,0.0001,,
23874,0.5463939999999999,570,470,3.25,41,45.54,5718,0.11802086234092712,0.0001,,
24365,0.5370649999999996,582,480,3.18,41,44.96,5841,0.08618639409542084,0.0001,,
24833,0.5281730000000002,594,490,3.13,41,44.5,5958,0.0451352633535862,0.0001,,
25476,0.5159560000000001,609,500,3.4,41,47.87,6118,0.05935690551996231,0.0001,,
25903,0.5078429999999998,619,510,3.29,41,47.18,6225,0.1277584731578827,0.0001,,
26479,0.49689900000000053,633,520,3.28,41,48.06,6369,0.0708998367190361,0.0001,,
26998,0.48703799999999964,646,530,3.33,41,48.85,6499,0.15568554401397705,0.0001,,
27479,0.4778990000000005,658,540,3.33,41,48.8,6619,0.15939119458198547,0.0001,,
27985,0.4682850000000004,670,550,3.49,41,49.69,6746,0.04577312245965004,0.0001,,
28535,0.45783500000000055,683,560,3.68,41,50.21,6883,0.1472344845533371,0.0001,,
29057,0.4479170000000001,696,570,3.9,41,51.83,7014,0.0644964724779129,0.0001,,
29486,0.43976599999999977,706,580,3.87,41,51.21,7121,0.06362076103687286,0.0001,,
30265,0.42496500000000037,725,590,4.07,41,54.32,7316,0.12417913228273392,0.0001,,
30947,0.412007,742,600,4.01,41,54.71,7486,0.09472902864217758,0.0001,,
31331,0.40471100000000004,751,610,4.0,41,54.28,7582,0.15608294308185577,0.0001,,
31755,0.3966550000000004,761,620,3.98,41,52.76,7688,0.04957970604300499,0.0001,,
32287,0.38654699999999986,775,630,3.98,41,52.89,7821,0.05854015797376633,0.0001,,
32900,0.37490000000000034,791,640,4.06,41,54.21,7974,0.048687417060136795,0.0001,,
33393,0.365533,803,650,4.03,41,54.08,8098,0.06985114514827728,0.0001,,
33964,0.3546840000000002,817,660,4.02,41,54.29,8240,0.07447022944688797,0.0001,,
34607,0.3424670000000001,833,670,4.06,41,55.5,8401,0.16215047240257263,0.0001,,
35171,0.331751,847,680,4.15,41,56.85,8542,0.06687235832214355,0.0001,,
35621,0.32320099999999974,858,690,4.12,41,53.56,8655,0.12397021055221558,0.0001,,
35994,0.31611400000000067,867,700,3.99,41,50.47,8748,0.14103588461875916,0.0001,,
36496,0.3065760000000006,879,710,3.95,41,51.65,8873,0.0645437091588974,0.0001,,
37460,0.2882600000000002,902,720,4.17,41,57.05,9114,0.05599261075258255,0.0001,,
38422,0.26998199999999983,927,730,4.5,41,61.35,9355,0.1641932874917984,0.0001,,
39304,0.2532239999999999,948,740,4.6,41,64.04,9575,0.04991232603788376,0.0001,,
40470,0.23107,977,750,5.03,41,70.77,9867,0.08668458461761475,0.0001,,
41348,0.21438800000000025,998,760,5.24,41,73.84,10086,0.18070147931575775,0.0001,,
42178,0.1986180000000003,1019,770,5.29,41,75.71,10294,0.03984537348151207,0.0001,,
43134,0.180454,1043,780,5.72,41,79.63,10533,0.06330428272485733,0.0001,,
44205,0.16010500000000027,1069,790,6.05,41,85.84,10801,0.03875153511762619,0.0001,,
45248,0.14028799999999997,1095,800,6.37,41,92.54,11061,0.09192457050085068,0.0001,,
45897,0.12795699999999965,1111,810,6.57,41,94.01,11224,0.03641065955162048,0.0001,,
46362,0.11912199999999984,1123,820,6.4,41,89.02,11340,0.05622752383351326,0.0001,,
47396,0.09947600000000023,1149,830,6.55,41,89.74,11598,0.05283176153898239,0.0001,,
48213,0.08395299999999994,1169,840,6.7,41,89.09,11803,0.047219596803188324,0.0001,,
49020,0.0686199999999999,1189,850,6.54,41,85.5,12004,0.022957084700465202,0.0001,,
49995,0.05009499999999989,1214,860,6.76,41,86.47,12248,0.1008380874991417,0.0001,,
50000,0.0500189999999997,,,,,,12249,0.04136160761117935,0.0001,4.2,47.2
51013,0.05,1241,870,7.05,41,88.35,12503,0.2732544541358948,0.0001,,
51612,0.05,1256,880,6.7,41,84.78,12652,0.047950468957424164,0.0001,,
52435,0.05,1277,890,6.56,41,82.3,12858,0.08021722733974457,0.0001,,
53366,0.05,1300,900,6.66,41,81.18,13091,0.04187675565481186,0.0001,,
54112,0.05,1319,910,6.84,41,82.15,13277,0.2632307708263397,0.0001,,
54913,0.05,1339,920,7.18,40,85.51,13478,0.19104227423667908,0.0001,,
55342,0.05,1350,930,6.7,40,79.46,13585,0.1316966861486435,0.0001,,
56217,0.05,1373,940,6.75,40,80.04,13804,0.041605059057474136,0.0001,,
57437,0.05,1404,950,6.93,40,84.17,14109,0.038665369153022766,0.0001,,
58150,0.05,1422,960,6.76,40,81.55,14287,0.16141965985298157,0.0001,,
59301,0.05,1453,970,6.87,40,82.88,14575,0.16847071051597595,0.0001,,
59833,0.05,1466,980,6.88,40,82.21,14708,0.27534350752830505,0.0001,,
60887,0.05,1493,990,7.06,40,84.52,14971,0.33626896142959595,0.0001,,
61775,0.05,1517,1000,6.95,40,84.09,15193,0.10191914439201355,0.0001,,
62665,0.05,1539,1010,7.1,40,85.53,15416,0.0353202261030674,0.0001,,
63270,0.05,1555,1020,6.9,40,83.57,15567,0.07001641392707825,0.0001,,
64140,0.05,1577,1030,7.32,40,87.98,15784,0.26001372933387756,0.0001,,
64880,0.05,1596,1040,7.27,40,86.63,15969,0.2286306619644165,0.0001,,
65928,0.05,1623,1050,7.34,40,84.91,16231,0.14364787936210632,0.0001,,
66666,0.05,1642,1060,7.22,40,85.16,16416,0.3480583131313324,0.0001,,
67773,0.05,1670,1070,7.06,40,84.72,16693,0.045721009373664856,0.0001,,
68821,0.05,1696,1080,7.4,40,89.88,16955,0.134619802236557,0.0001,,
69675,0.05,1718,1090,7.23,40,87.88,17168,0.03207991272211075,0.0001,,
70530,0.05,1740,1100,7.31,40,87.55,17382,0.09507136791944504,0.0001,,
71615,0.05,1768,1110,7.41,40,89.5,17653,0.10951343923807144,0.0001,,
72183,0.05,1782,1120,7.25,40,89.13,17795,0.03698551282286644,0.0001,,
72612,0.05,1793,1130,6.73,40,84.72,17902,0.10323844105005264,0.0001,,
73706,0.05,1821,1140,6.87,40,88.26,18176,0.04610176756978035,0.0001,,
74787,0.05,1849,1150,6.89,40,88.59,18446,0.07850420475006104,0.0001,,
75554,0.05,1868,1160,7.01,40,88.88,18638,0.045953601598739624,0.0001,,
76370,0.05,1889,1170,6.92,40,85.97,18842,0.057359401136636734,0.0001,,
77204,0.05,1910,1180,6.79,40,83.83,19050,0.05658893287181854,0.0001,,
78162,0.05,1935,1190,6.89,40,84.87,19290,0.03181967884302139,0.0001,,
78883,0.05,1954,1200,6.85,40,83.53,19470,0.04025617241859436,0.0001,,
79565,0.05,1971,1210,6.54,40,79.5,19641,0.286368191242218,0.0001,,
80575,0.05,1997,1220,7.01,40,83.92,19893,0.04171406105160713,0.0001,,
81357,0.05,2017,1230,7.44,40,87.45,20089,0.15204328298568726,0.0001,,
81878,0.05,2030,1240,7.08,40,81.72,20219,0.10672035813331604,0.0001,,
82860,0.05,2056,1250,7.0,40,80.73,20464,0.1532365381717682,0.0001,,
83701,0.05,2077,1260,6.92,40,81.47,20675,0.15570518374443054,0.0001,,
84777,0.05,2105,1270,7.15,40,84.07,20944,0.07693634927272797,0.0001,,
85681,0.05,2128,1280,7.19,40,84.77,21170,0.04793690890073776,0.0001,,
87003,0.05,2162,1290,7.44,40,88.41,21500,0.1540299654006958,0.0001,,
87755,0.05,2181,1300,7.46,40,88.72,21688,0.1124110147356987,0.0001,,
88257,0.05,2194,1310,7.32,40,86.92,21814,0.04411095380783081,0.0001,,
89183,0.05,2217,1320,7.39,40,86.08,22045,0.06306121498346329,0.0001,,
89961,0.05,2237,1330,7.45,40,86.04,22240,0.350193589925766,0.0001,,
90682,0.05,2256,1340,7.64,40,88.04,22420,0.03933708742260933,0.0001,,
91746,0.05,2283,1350,7.81,40,88.86,22686,0.06124285236001015,0.0001,,
92091,0.05,2292,1360,7.61,40,83.9,22772,0.054246388375759125,0.0001,,
92973,0.05,2316,1370,7.3,40,81.96,22993,0.21231435239315033,0.0001,,
93850,0.05,2341,1380,7.2,40,81.69,23212,0.12245544791221619,0.0001,,
94918,0.05,2368,1390,7.05,40,79.15,23479,0.10437310487031937,0.0001,,
95750,0.05,2389,1400,7.08,40,79.95,23687,0.04987868666648865,0.0001,,
96676,0.05,2412,1410,7.36,40,84.19,23918,0.2742701768875122,0.0001,,
97460,0.05,2432,1420,7.19,40,82.77,24114,0.07416953146457672,0.0001,,
98494,0.05,2457,1430,7.3,40,85.33,24373,0.12040705978870392,0.0001,,
99348,0.05,2479,1440,7.45,40,86.66,24586,0.13995559513568878,0.0001,,
100000,0.05,,,,,,24749,0.1334671974182129,0.0001,11.0,103.2
100216,0.05,2503,1450,7.21,40,84.7,24803,0.1943819522857666,0.0001,,
101020,0.05,2523,1460,7.44,40,89.29,25004,0.1982458233833313,0.0001,,
101916,0.05,2546,1470,7.56,40,89.43,25228,0.0861722081899643,0.0001,,
102820,0.05,2568,1480,7.69,40,89.7,25454,0.17445825040340424,0.0001,,
104001,0.05,2598,1490,7.9,40,90.83,25750,0.2045792192220688,0.0001,,
104768,0.05,2617,1500,7.88,40,90.18,25941,0.06118464469909668,0.0001,,
105825,0.05,2645,1510,8.07,40,91.49,26206,0.06230025365948677,0.0001,,
106489,0.05,2661,1520,7.94,40,90.29,26372,0.13065403699874878,0.0001,,
107582,0.05,2689,1530,8.01,40,90.88,26645,0.17940881848335266,0.0001,,
108645,0.05,2715,1540,8.08,40,92.97,26911,0.16304375231266022,0.0001,,
109761,0.05,2744,1550,8.21,39,95.45,27190,0.2482513040304184,0.0001,,
110452,0.05,2761,1560,8.06,39,94.32,27362,0.05268220603466034,0.0001,,
111591,0.05,2790,1570,8.24,39,96.75,27647,0.05514999479055405,0.0001,,
112439,0.05,2811,1580,8.19,39,96.19,27859,0.17492012679576874,0.0001,,
113598,0.05,2840,1590,8.23,39,95.97,28149,0.16118906438350677,0.0001,,
