rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2.8,0.985731,2,751,308,75.1,10,,,,,
2.55,0.9737420000000001,17,1382,78,69.1,20,95,0.018727200105786324,0.0001,,
2.3666666666666667,0.9653440000000002,33,1824,53,60.8,30,205,0.013530004769563675,0.0001,,
2.25,0.9552359999999995,53,2356,43,58.9,40,338,0.015024976804852486,0.0001,,
2.24,0.9469710000000002,71,2791,39,55.82,50,447,0.002321885898709297,0.0001,,
2.3333333333333335,0.936141,92,3361,36,56.016666666666666,60,590,0.014381823129951954,0.0001,,
2.442857142857143,0.9266220000000005,111,3862,34,55.17142857142857,70,715,0.01669268310070038,0.0001,,
2.4125,0.9167040000000001,136,4384,32,54.8,80,845,0.014208170585334301,0.0001,,
2.466666666666667,0.9070139999999998,155,4894,31,54.37777777777778,90,973,0.0170011967420578,0.0001,,
2.54,0.8973810000000002,177,5401,30,54.01,100,1100,0.013824474066495895,0.0001,,
2.61,0.8849170000000004,203,6057,29,53.06,110,1264,0.0257205031812191,0.0001,,
2.71,0.8740870000000002,225,6627,29,52.45,120,1406,0.025034619495272636,0.0001,,
2.9,0.8638839999999999,246,7164,29,53.4,130,1540,0.019955767318606377,0.0001,,
2.83,0.8568540000000003,260,7534,28,51.78,140,1633,0.018707551062107086,0.0001,,
3.02,0.8399820000000002,295,8422,28,56.31,150,1855,0.026390759274363518,0.0001,,
3.07,0.8292280000000001,317,8988,28,56.27,160,1996,0.02244776114821434,0.0001,,
3.04,0.8186640000000001,338,9544,28,56.82,170,2135,0.0249129980802536,0.0001,,
3.24,0.808499,360,10079,27,56.95,180,2269,0.03319443389773369,0.0001,,
3.19,0.8022670000000001,374,10407,27,55.13,190,2351,0.027047045528888702,0.0001,,
3.33,0.7913989999999997,396,10979,27,55.78,200,2494,0.030851034447550774,0.0001,,
3.21,0.7826590000000004,414,11439,27,53.82,210,2609,0.04240589961409569,0.0001,,
3.28,0.7729499999999997,435,11950,27,53.23,220,2737,0.028854385018348694,0.0001,,
3.21,0.7616070000000005,461,12547,27,53.83,230,2886,0.04020686820149422,0.0001,,
3.32,0.7546909999999999,476,12911,27,53.77,240,2977,0.0343223437666893,0.0001,,
3.3,0.7447159999999999,497,13436,27,50.14,250,3108,0.051650308072566986,0.0001,,
3.19,0.7360139999999997,514,13894,26,49.06,260,3223,0.050848327577114105,0.0001,,
3.18,0.7267039999999999,533,14384,26,48.4,270,3345,0.056011591106653214,0.0001,,
3.01,0.7188569999999999,549,14797,26,47.18,280,3449,0.04505431279540062,0.0001,,
3.07,0.7112760000000002,564,15196,26,47.89,290,3548,0.05893753841519356,0.0001,,
2.84,0.7031630000000001,580,15623,26,46.44,300,3655,0.08815339207649231,0.0001,,
2.98,0.6938530000000003,599,16113,26,46.74,310,3778,0.06797923892736435,0.0001,,
2.78,0.6849229999999997,617,16583,26,46.33,320,3895,0.02701004408299923,0.0001,,
2.71,0.6785200000000002,630,16920,26,43.73,330,3979,0.07977046817541122,0.0001,,
2.89,0.6686210000000004,650,17441,26,45.3,340,4110,0.08403774350881577,0.0001,,
